# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-60052
# Timestamp: Thu, 28-Mar-2019 18:45:39
Gene ID	Gene Name	'small cell lung carcinoma' vs 'normal' .foldChange	'small cell lung carcinoma' vs 'normal'.pValue
ENSG00000000003	TSPAN6	0.1	0.857878545453867
ENSG00000000005	TNMD	-1.2	0.415790029326458
ENSG00000000419	DPM1	0.7	0.302002014464679
ENSG00000000457	SCYL3	0.6	0.0803418379583265
ENSG00000000460	C1orf112	1.2	0.00548386037249719
ENSG00000000938	FGR	-2.2	0.00149631530775084
ENSG00000000971	CFH	-1.5	0.054756200486288
ENSG00000001036	FUCA2	0.1	0.909206638551114
ENSG00000001084	GCLC	0.5	0.436477991438303
ENSG00000001167	NFYA	0.7	0.0785795738011173
ENSG00000001460	STPG1	1.1	0.0123403774206279
ENSG00000001461	NIPAL3	0.4	0.380273550224672
ENSG00000001497	LAS1L	0.3	0.357490471628791
ENSG00000001617	SEMA3F	-0.7	0.263769089830873
ENSG00000001626	CFTR	-0.3	0.809479123874253
ENSG00000001629	ANKIB1	0.2	0.54060883897505
ENSG00000001630	CYP51A1	-0.2	0.890600855246419
ENSG00000001631	KRIT1	0.3	0.471461206711953
ENSG00000002016	RAD52	0.1	0.875613223182744
ENSG00000002079	MYH16	2.0	0.0153591459745839
ENSG00000002330	BAD	0.7	0.323754292055151
ENSG00000002549	LAP3	-1.0	0.0353783052576175
ENSG00000002586	CD99	-1.8	0.00328550672090391
ENSG00000002587	HS3ST1	1.5	0.00734605399225225
ENSG00000002726	AOC1	3.3	2.41030080707596E-4
ENSG00000002745	WNT16	1.2	0.289510528162627
ENSG00000002746	HECW1	1.0	0.342407121715424
ENSG00000002822	MAD1L1	0.5	0.284007024619252
ENSG00000002834	LASP1	-0.5	0.173568298559162
ENSG00000002919	SNX11	0.2	0.665846536782585
ENSG00000002933	TMEM176A	0.4	0.654904744439384
ENSG00000003056	M6PR	-0.6	0.121328177266908
ENSG00000003096	KLHL13	0.3	0.832810044079017
ENSG00000003137	CYP26B1	0.4	0.670911703961803
ENSG00000003147	ICA1	0.7	0.310414228771105
ENSG00000003249	DBNDD1	1.8	0.00171853832264133
ENSG00000003400	CASP10	-1.4	0.015891145425554
ENSG00000003402	CFLAR	-1.3	6.18930379120956E-6
ENSG00000003436	TFPI	-1.6	0.00687697287036018
ENSG00000003509	NDUFAF7	0.5	0.317947888052567
ENSG00000003756	RBM5	-0.9	0.0103756130092447
ENSG00000003987	MTMR7	1.5	0.00156447719323468
ENSG00000003989	SLC7A2	-1.7	0.0345132842705355
ENSG00000004059	ARF5	0.2	0.696321467553526
ENSG00000004139	SARM1	1.2	0.0023768628782742
ENSG00000004399	PLXND1	-1.0	0.00638459677964634
ENSG00000004455	AK2	0.5	0.0621958381245847
ENSG00000004468	CD38	-1.5	0.0487324452816915
ENSG00000004478	FKBP4	1.2	0.00133667584904239
ENSG00000004487	KDM1A	1.2	2.01686082868372E-4
ENSG00000004534	RBM6	-0.4	0.378670361722982
ENSG00000004660	CAMKK1	0.5	0.428160821595909
ENSG00000004766	VPS50	0.2	0.729339054623244
ENSG00000004776	HSPB6	-1.8	0.0506219030427725
ENSG00000004777	ARHGAP33	1.8	4.482149645057E-4
ENSG00000004779	NDUFAB1	1.4	0.010751530197937
ENSG00000004799	PDK4	-2.4	0.00114856997011558
ENSG00000004809	SLC22A16	-0.4	0.841957634507994
ENSG00000004838	ZMYND10	-0.8	0.132363491553341
ENSG00000004846	ABCB5	1.5	0.0529426996882107
ENSG00000004848	ARX	0.3	0.877099926805808
ENSG00000004866	ST7	-0.5	0.278596599928597
ENSG00000004897	CDC27	0.1	0.870523818836256
ENSG00000004939	SLC4A1	0.2	0.888227462085514
ENSG00000004948	CALCR	1.3	0.356975078606336
ENSG00000004961	HCCS	0.8	0.283657499519552
ENSG00000004975	DVL2	0.8	0.0680121252481724
ENSG00000005001	PRSS22	-0.6	0.695568611815111
ENSG00000005007	UPF1	-0.1	0.865754336253821
ENSG00000005020	SKAP2	-0.2	0.691877290703381
ENSG00000005022	SLC25A5	-0.2	0.769846760865643
ENSG00000005059	MCUB	0.9	0.0711534908766128
ENSG00000005073	HOXA11	0.8	0.65982172901352
ENSG00000005075	POLR2J	0.8	0.125651814389063
ENSG00000005100	DHX33	0.2	0.734804953785635
ENSG00000005102	MEOX1	3.8	6.86424457922489E-4
ENSG00000005156	LIG3	0.2	0.497201647212381
ENSG00000005175	RPAP3	1.0	0.0304686734349779
ENSG00000005187	ACSM3	0.8	0.431146131641316
ENSG00000005189	REXO5	2.3	1.7088779332127E-4
ENSG00000005194	CIAPIN1	0.3	0.573473194215226
ENSG00000005206	SPPL2B	1.4	0.00199881495545467
ENSG00000005238	FAM214B	-0.5	0.42275875809706
ENSG00000005243	COPZ2	-0.9	0.450019123425999
ENSG00000005249	PRKAR2B	0.3	0.743948274983949
ENSG00000005302	MSL3	-0.1	0.830025510495983
ENSG00000005379	TSPOAP1	-0.1	0.858308854114324
ENSG00000005381	MPO	-0.4	0.836293350805872
ENSG00000005421	PON1	0.1	0.941791506452944
ENSG00000005436	GCFC2	0.3	0.623180641323348
ENSG00000005448	WDR54	0.6	0.320626754620007
ENSG00000005471	ABCB4	0.2	0.920261110814529
ENSG00000005483	KMT2E	-0.3	0.406033570192815
ENSG00000005486	RHBDD2	-0.2	0.693522495051885
ENSG00000005700	IBTK	-0.2	0.757566483451301
ENSG00000005801	ZNF195	0.6	0.117833463647241
ENSG00000005810	MYCBP2	-0.7	0.0579765298728365
ENSG00000005812	FBXL3	-0.6	0.357515587127582
ENSG00000005844	ITGAL	-1.8	0.00485117057450992
ENSG00000005882	PDK2	-0.1	0.948790348364019
ENSG00000005884	ITGA3	-1.6	2.41810153012703E-5
ENSG00000005889	ZFX	-0.2	0.603008793499343
ENSG00000005893	LAMP2	-0.5	0.382779266818548
ENSG00000005961	ITGA2B	0.3	0.829698963265074
ENSG00000005981	ASB4	0.9	0.478678600767464
ENSG00000006007	GDE1	-0.7	0.159055761137076
ENSG00000006015	REX1BD	0.9	0.104091469758376
ENSG00000006016	CRLF1	-0.4	0.697280777944664
ENSG00000006042	TMEM98	0.2	0.77474458779439
ENSG00000006047	YBX2	2.5	0.00822001928958891
ENSG00000006059	KRT33A	1.8	0.27208656951688
ENSG00000006062	MAP3K14	-0.5	0.230230656594548
ENSG00000006071	ABCC8	2.3	2.41314346021883E-4
ENSG00000006116	CACNG3	2.0	0.195813547048167
ENSG00000006118	TMEM132A	1.5	0.00114623036438472
ENSG00000006125	AP2B1	-0.3	0.461419082247922
ENSG00000006194	ZNF263	0.4	0.400705011015739
ENSG00000006210	CX3CL1	-3.0	7.36321496468149E-6
ENSG00000006282	SPATA20	-0.5	0.469115455018981
