gene name,geneId,adipose tissue,adrenal gland,appendix,bone marrow,breast,cerebral cortex,"cervix, uterine",colon,duodenum,endometrium,epididymis,esophagus,fallopian tube,gallbladder,heart muscle,kidney,liver,lung,lymph node,ovary,pancreas,parathyroid gland,placenta,prostate,rectum,salivary gland,seminal vesicle,skeletal muscle,skin,small intestine,smooth muscle,spleen,stomach,testis,thyroid gland,tonsil,urinary bladder,max,min,std diviacija,mediana
TSPAN6,ENSG00000000003,31.5,26.4,9.2,0.7,53.4,18.5,54.2,48.5,27.1,38.5,32.7,49.7,102.1,40.2,5.4,62.3,56.8,19.3,4.8,71.8,6,80.6,43.8,49.5,58.8,34,24.2,1.6,7.8,18.8,18.3,14.3,21.2,84.7,53.2,10.2,55.3,102.1,0.7,25.04974919,32.7
TNMD,ENSG00000000005,10.1,0.2,0.7,0,4.3,0,0.8,0.7,0,0.4,0.2,0.3,0.3,0.7,0.6,0.7,0,0.1,0.1,2.2,0,0,3.1,1.9,0.5,0.1,33.2,0,0.3,0.1,0.9,0.2,0,0.3,0.1,0.1,0.2,33.2,0,5.543253126,0.3
DPM1,ENSG00000000419,45.6,69.7,46,36.3,52.3,37,46.9,37.7,36.9,64.6,57.2,49,51.9,56.4,39.3,49,31.6,43.9,63.4,47,10.2,48.8,63.7,54.7,46.6,16.2,42.3,19.2,40.5,43.1,54.2,50.3,34.6,73.3,80.5,48,48.8,80.5,10.2,14.32245169,47
SCYL3,ENSG00000000457,5.7,7.7,9.9,2.6,13.7,6.9,10.2,7.7,7.7,11.7,10.1,8,10.2,11.9,3.3,8.1,5.8,9.3,12,9.3,1.3,24.6,11.6,12.4,10.6,3.5,9.3,2.3,9.2,7.6,9.2,10.4,7.3,12.3,12.8,9,9.2,24.6,1.3,3.988859578,9.2
C1orf112,ENSG00000000460,2,1.6,4.5,5.9,3.6,1.7,3.4,2.6,1.2,4.8,1.2,2.2,2.4,2.3,0.5,1.1,1.3,2.5,7.6,2.6,0.3,25,4.8,3,4.6,0.7,2.8,0,2.9,2,4.2,3.9,1.8,18.6,2.9,7.3,3.6,25,0,4.68317318,2.6
FGR,ENSG00000000938,29.1,5.7,85.6,137,5.3,3.5,9.2,4.2,3.9,9.2,2.1,5.7,7.1,20.4,1.8,2.1,4.5,56.3,31.4,1.6,1.2,1.3,11.3,3.6,4.4,1.4,3.3,0.9,3.6,6.6,22.9,90.6,3.6,3.1,3.8,18.6,15.2,137,0.9,28.97423051,4.5
CFH,ENSG00000000971,78.1,53.6,41.7,0.7,83.5,12.1,113.6,48.6,29.8,21.4,18.6,69.7,19.4,205.3,70.6,26.2,839.5,83.5,29,148.3,2.9,20.3,37.3,35.3,86.7,12.7,33.1,3.7,46.1,55.2,46.3,18.7,43.9,27.1,59.1,23.7,109.5,839.5,0.7,134.5805388,41.7
FUCA2,ENSG00000001036,33.1,46.2,34.6,16.4,33.4,16.7,45.4,41.4,43.4,43.5,55.4,16.1,38.1,44.2,18.2,58.1,26.9,43.3,19.3,37.8,7.4,154.2,73.3,36,59,7.1,36.6,2.4,11.6,44,40.9,34.1,36.4,24.1,54.4,15.7,35.7,154.2,2.4,25.12302178,36.4
GCLC,ENSG00000001084,26.4,19.6,15.7,20.9,28.1,41.5,12.1,21.6,36.9,27.6,8.3,35.7,80.9,41.9,8.5,30.1,63.6,12.8,21.1,7.9,2.7,17.8,10.4,32.3,21.6,4.8,18.6,2.7,15.6,26,21.4,42.1,25.5,16.6,38.7,17.5,33.1,80.9,2.7,15.88161508,21.4
NFYA,ENSG00000001167,12.5,10.8,18.7,27.1,19.2,20.2,17.5,11.9,10,24.7,17.9,10.8,19,19.8,5.1,10.9,7.3,17.6,22.9,23,2.4,25.9,19.7,22.1,16.1,4.1,11.2,2.3,12.5,12.4,16,20,11.8,70.9,30.9,18.8,14.8,70.9,2.3,11.19044516,17.5
STPG1,ENSG00000001460,5,4.1,2.6,0.6,3.9,10.7,5,6.4,3.4,6,6.5,3.4,26.8,4.9,2,4.8,0.6,7.3,2.2,5.1,0.7,16.1,1.5,7,5.8,1.1,4.6,0.3,3.5,4.8,7.3,2.1,3.8,46.9,7.6,2.4,4.1,46.9,0.3,8.241669322,4.6
